dataset,kernel_name,alpha,val_rmse,val_r2,val_accuracy,num_params,model_type
obesity,RBF,1e-06,0.9662390771319854,0.7406155041878274,,,gp
obesity,Matern25,1e-06,0.8883761793321906,0.7807353457492137,,,gp
obesity,DotProduct,1e-06,1.638229505948021,0.25436839882693396,,,gp
obesity,RBF_plus_DotProduct,1e-06,0.9179225010150314,0.765907850108911,,,gp
obesity,RBF_ARD,1e-06,0.621279340390856,0.8927620155577026,,,gp
obesity,Matern25_ARD,1e-06,0.4242594377940929,0.9499921892024282,,,gp
obesity,RBF_ARD_plus_DotProduct,1e-06,0.4608274799903445,0.9410000618393546,,,gp
obesity,RBF_WhiteKernel,1e-06,0.9667101615219078,0.7403625196483625,,,gp
obesity,Matern25_WhiteKernel,1e-06,0.8881218954632097,0.7808608499811891,,,gp
obesity,DotProduct_WhiteKernel,1e-06,1.6338245931011037,0.2583727542137638,,,gp
obesity,RBF_plus_DotProduct_WhiteKernel,1e-06,0.9182275760963802,0.7657522213946553,,,gp
obesity,RBF_ARD_WhiteKernel,1e-06,0.6112385984220747,0.8962002372342174,,,gp
obesity,Matern25_ARD_WhiteKernel,1e-06,0.4189703284122062,0.9512312804688713,,,gp
obesity,RBF_ARD_plus_DotProduct_WhiteKernel,1e-06,0.4566465186903835,0.9420657858028639,,,gp
